id,type,label,tags,degree,sources,status,as_of,valid_from,valid_to,supersedes
dim.1,Dimension,"Dimension 1: Strategy, Leadership & Value Realization",dimension|strategy,13,dimensions.json,current,,,,
criterion.1_1,Criterion,"1.1 AI & Agentic Vision / Ambition (fit autonomy, augmentation-first)",criterion|dim-1,4,dimensions.json,current,,,,
criterion.1_2,Criterion,1.2 Business-AI Strategic Alignment,criterion|dim-1,3,dimensions.json,current,,,,
criterion.1_3,Criterion,1.3 Executive Sponsorship & Accountability,criterion|dim-1,2,dimensions.json,current,,,,
criterion.1_4,Criterion,"1.4 Prioritization, Portfolio Focus & Value Discernment",criterion|dim-1,5,dimensions.json,current,,,,
criterion.1_5,Criterion,1.5 Investment & Funding Model,criterion|dim-1,3,dimensions.json,current,,,,
criterion.1_6,Criterion,1.6 Value Definition & Benefits Realization,criterion|dim-1,6,dimensions.json,current,,,,
criterion.1_7,Criterion,1.7 Sourcing & Stack Strategy (2026),criterion|dim-1,5,dimensions.json,current,,,,
criterion.1_8,Criterion,1.8 Adaptability & Pattern Resilience (build-to-delete),criterion|dim-1,4,dimensions.json,current,,,,
dim.2,Dimension,Dimension 2: Knowledge Building & Capability Reuse,dimension|knowledge-building-&-capability-reuse,11,dimensions.json,current,,,,
criterion.2_1,Criterion,2.1 Knowledge Capture & Codification,criterion|dim-2,5,dimensions.json,current,,,,
criterion.2_2,Criterion,2.2 Skill / Capability Packaging (Assetization),criterion|dim-2,5,dimensions.json,current,,,,
criterion.2_3,Criterion,2.3 Reuse Registry / Marketplace & Discovery,criterion|dim-2,2,dimensions.json,current,,,,
criterion.2_4,Criterion,"2.4 Reuse Governance, Quality & Security",criterion|dim-2,3,dimensions.json,current,,,,
criterion.2_5,Criterion,2.5 Trajectory Capture & Learning Flywheel,criterion|dim-2,5,dimensions.json,current,,,,
criterion.2_6,Criterion,2.6 Measurement of Reuse & Value,criterion|dim-2,2,dimensions.json,current,,,,
criterion.2_7,Criterion,"2.7 Operating Model, Ownership & Incentives",criterion|dim-2,2,dimensions.json,current,,,,
dim.3,Dimension,"Dimension 3: Data, Knowledge Sources & Retrieval",dimension|data,9,dimensions.json,current,,,,
criterion.3_1,Criterion,3.1 Proprietary Data Richness & Strategic Fit,criterion|dim-3,1,dimensions.json,current,,,,
criterion.3_2,Criterion,"3.2 Knowledge Source Inventory, Ownership & Freshness",criterion|dim-3,1,dimensions.json,current,,,,
criterion.3_3,Criterion,3.3 Data Accessibility & Integration (fit-for-purpose),criterion|dim-3,4,dimensions.json,current,,,,
criterion.3_4,Criterion,3.4 Data Quality & Readiness,criterion|dim-3,2,dimensions.json,current,,,,
criterion.3_5,Criterion,"3.5 Retrieval & Context Engineering (RAG, grounding)",criterion|dim-3,2,dimensions.json,current,,,,
criterion.3_6,Criterion,"3.6 Data Governance, Privacy & Rights for AI/Agent Use",criterion|dim-3,2,dimensions.json,current,,,,
dim.4,Dimension,"Dimension 4: Agent Platform, Harness Engineering & Operations (incl. Autonomy)",dimension|agent-platform,14,dimensions.json,current,,,,
criterion.4_1,Criterion,4.1 Use-Case Selection & Pattern Fit,criterion|dim-4,8,dimensions.json,current,,,,
criterion.4_2,Criterion,"4.2 Harness, Skills & Runtime Strategy",criterion|dim-4,5,dimensions.json,current,,,,
criterion.4_3,Criterion,4.3 Agent Architecture & Context Engineering,criterion|dim-4,11,dimensions.json,current,,,,
criterion.4_4,Criterion,4.4 Graduation to Autonomy (in-loop -> operator -> out-of-loop),criterion|dim-4,13,dimensions.json,current,,,,
criterion.4_5,Criterion,4.5 Evaluation & Quality (Evals),criterion|dim-4,7,dimensions.json,current,,,,
criterion.4_6,Criterion,"4.6 AgentOps: Observability, Reliability, Cost & Trajectory Capture",criterion|dim-4,6,dimensions.json,current,,,,
dim.5,Dimension,Dimension 5: Agentic Platform & Control Plane (Operating Model),dimension|agentic-platform-&-control-plane-(operating-model),13,dimensions.json,current,,,,
criterion.5_1,Criterion,5.1 Platform Ownership & Platform-as-Product,criterion|dim-5,1,dimensions.json,current,,,,
criterion.5_2,Criterion,5.2 Golden Paths & Build/Run Operating Model,criterion|dim-5,1,dimensions.json,current,,,,
criterion.5_3,Criterion,5.3 Governed Use-Case & PoC Intake,criterion|dim-5,4,dimensions.json,current,,,,
criterion.5_4,Criterion,5.4 Reference Patterns & Architectural Governance by Agent Type/Autonomy,criterion|dim-5,4,dimensions.json,current,,,,
criterion.5_5,Criterion,"5.5 Control-Plane Primitives: Registry, Identity, Gateways & Observability",criterion|dim-5,9,dimensions.json,current,,,,
criterion.5_6,Criterion,"5.6 Orchestration, Durable-Execution Runtime & Tooling/Connector Catalog",criterion|dim-5,4,dimensions.json,current,,,,
criterion.5_7,Criterion,"5.7 Interoperability, Integration & Build-vs-Buy / Topology",criterion|dim-5,2,dimensions.json,current,,,,
criterion.5_8,Criterion,"5.8 Cross-Team Alignment (Governance, Data, Quality)",criterion|dim-5,2,dimensions.json,current,,,,
dim.6,Dimension,Dimension 6: Agentic Workflow Redesign & Human-AI Pairing,dimension|agentic-workflow-redesign-&-human-ai-pairing,11,dimensions.json,current,,,,
criterion.6_1,Criterion,6.1 Locating the Agentic Insertion Point,criterion|dim-6,4,dimensions.json,current,,,,
criterion.6_2,Criterion,6.2 Error Reversibility & Recovery-Cost Assessment,criterion|dim-6,9,dimensions.json,current,,,,
criterion.6_3,Criterion,6.3 Deterministic <-> Agentic Composition,criterion|dim-6,2,dimensions.json,current,,,,
criterion.6_4,Criterion,6.4 Human-AI Pairing Mode & Its Control Mechanism,criterion|dim-6,1,dimensions.json,current,,,,
criterion.6_5,Criterion,6.5 Eval Loop & Reasoning Capture,criterion|dim-6,3,dimensions.json,current,,,,
criterion.6_6,Criterion,6.6 Improvement Flywheel & Continuous Agentic Redesign,criterion|dim-6,2,dimensions.json,current,,,,
criterion.6_7,Criterion,6.7 Human-AI Interaction & UX Design,criterion|dim-6,2,dimensions.json,current,,,,
dim.7,Dimension,"Dimension 7: Workforce, Talent & Operating Model",dimension|workforce,11,dimensions.json,current,,,,
criterion.7_1,Criterion,7.1 AI Fluency & Role-Based Training (enterprise-wide),criterion|dim-7,3,dimensions.json,current,,,,
criterion.7_2,Criterion,7.2 New Agentic-Era Roles & Role Consolidation,criterion|dim-7,2,dimensions.json,current,,,,
criterion.7_3,Criterion,7.3 Team Structure & Composition,criterion|dim-7,2,dimensions.json,current,,,,
criterion.7_4,Criterion,7.4 Hiring for the Agentic Era,criterion|dim-7,1,dimensions.json,current,,,,
criterion.7_5,Criterion,7.5 Career Paths & Promotion (doing -> supervising -> governing),criterion|dim-7,1,dimensions.json,current,,,,
criterion.7_6,Criterion,"7.6 Operating Model, Topology & Enablement",criterion|dim-7,1,dimensions.json,current,,,,
criterion.7_7,Criterion,7.7 Culture & Human-Agent Collaboration,criterion|dim-7,1,dimensions.json,current,,,,
dim.8,Dimension,Dimension 8: Security & Risk,dimension|security-&-risk,10,dimensions.json,current,,,,
criterion.8_1,Criterion,8.1 Agentic Threat Model & Coverage,criterion|dim-8,2,dimensions.json,current,,,,
criterion.8_2,Criterion,8.2 Agent Identity & Least-Privilege Access,criterion|dim-8,2,dimensions.json,current,,,,
criterion.8_3,Criterion,8.3 Runtime Threat Protection & Guardrails (security),criterion|dim-8,6,dimensions.json,current,,,,
criterion.8_4,Criterion,"8.4 Observability, Audit Trails & Detection",criterion|dim-8,1,dimensions.json,current,,,,
criterion.8_5,Criterion,8.5 Risk Triage & Right-to-Deploy,criterion|dim-8,2,dimensions.json,current,,,,
criterion.8_6,Criterion,"8.6 Incident Response, Containment & Resilience",criterion|dim-8,3,dimensions.json,current,,,,
criterion.8_7,Criterion,8.7 AI Hygiene & Shadow-AI / Human-Trust Risk,criterion|dim-8,2,dimensions.json,current,,,,
criterion.8_8,Criterion,8.8 Developer Endpoint & AI Coding-Tool Security,criterion|dim-8,1,dimensions.json,current,,,,
dim.9,Dimension,Dimension 9: Governance & Responsible AI,dimension|governance-&-responsible-ai,8,dimensions.json,current,,,,
criterion.9_1,Criterion,"9.1 Governance Operating Model, Decision Rights & Accountability",criterion|dim-9,1,dimensions.json,current,,,,
criterion.9_2,Criterion,9.2 Policy & Policy-as-Code,criterion|dim-9,2,dimensions.json,current,,,,
criterion.9_3,Criterion,9.3 Responsible AI Principles & Practices,criterion|dim-9,3,dimensions.json,current,,,,
criterion.9_4,Criterion,"9.4 Explainability, Transparency & Auditability",criterion|dim-9,1,dimensions.json,current,,,,
criterion.9_5,Criterion,9.5 Compliance & Regulatory Lifecycle,criterion|dim-9,1,dimensions.json,current,,,,
criterion.9_6,Criterion,"9.6 Agent Registry, Intake & Lifecycle Governance",criterion|dim-9,3,dimensions.json,current,,,,
chapter.00,Chapter,Chapter 00: How to Use This Playbook,chapter|introduction,1,00_How_To_Use_This_Playbook.md,current,,,,
chapter.01,Chapter,Chapter 01: Why 2026 Is Different,chapter|foundations,2,Ch01_Why_2026_Is_Different.md,current,,,,
chapter.02,Chapter,Chapter 02: How an Agentic Transformation Works,chapter|foundations,2,Ch02_How_An_Agentic_Transformation_Works.md,current,,,,
chapter.03,Chapter,"Chapter 03: Strategy, Economics & Ambition",chapter|the-nine-dimensions,3,Ch03_Strategy_Economics_Ambition.md,current,,,,
chapter.04,Chapter,Chapter 04: Reimagining Workflows & the Autonomy Gate,chapter|the-nine-dimensions,4,Ch04_Reimagining_Workflows_and_the_Autonomy_Gate.md,current,,,,
chapter.05,Chapter,Chapter 05: The Knowledge Moat,chapter|the-nine-dimensions,3,Ch05_The_Knowledge_Moat.md,current,,,,
chapter.06,Chapter,"Chapter 06: Data, Retrieval & Context",chapter|the-nine-dimensions,3,Ch06_Data_Retrieval_and_Context.md,current,,,,
chapter.07,Chapter,Chapter 07: Building & Running Agents,chapter|the-nine-dimensions,3,Ch07_Building_and_Running_Agents.md,current,,,,
chapter.08,Chapter,Chapter 08: The Agentic Platform & Control Plane,chapter|the-nine-dimensions,3,Ch08_The_Agentic_Platform_and_Control_Plane.md,current,,,,
chapter.09,Chapter,"Chapter 09: Workforce, Enablement, Teams & Culture",chapter|the-nine-dimensions,3,Ch09_Workforce_Enablement_Teams_Culture.md,current,,,,
chapter.10,Chapter,Chapter 10: Security & the Agentic Threat Model,chapter|the-nine-dimensions,3,Ch10_Security_and_the_Agentic_Threat_Model.md,current,,,,
chapter.11,Chapter,Chapter 11: Governance & Responsible AI,chapter|the-nine-dimensions,3,Ch11_Governance_and_Responsible_AI.md,current,,,,
chapter.12,Chapter,"Chapter 12: Leading, Scaling, Tracking & Adjusting",chapter|execution,4,Ch12_Leading_Scaling_Tracking_Adjusting.md,current,,,,
chapter.13,Chapter,Chapter 13: From Template Backlog to Client Backlog,chapter|execution,1,Ch13_From_Template_Backlog_to_Client_Backlog.md,current,,,,
phase.1,EngagementPhase,Phase 1: Scope & Plan,engagement-phase|phase-1,5,engagement-workflow.md,current,,,,
phase.2,EngagementPhase,Phase 2: Frame Interviews,engagement-phase|phase-2,6,engagement-workflow.md,current,,,,
phase.3,EngagementPhase,Phase 3: Capture & Analyze,engagement-phase|phase-3,7,engagement-workflow.md,current,,,,
phase.4,EngagementPhase,Phase 4: Synthesize the As-Is,engagement-phase|phase-4,8,engagement-workflow.md,current,,,,
phase.5,EngagementPhase,Phase 5: Gap & Target,engagement-phase|phase-5,6,engagement-workflow.md,current,,,,
phase.6,EngagementPhase,Phase 6: Roadmap & Client Backlog,engagement-phase|phase-6,6,engagement-workflow.md,current,,,,
phase.7,EngagementPhase,Phase 7: Drive the First Waves,engagement-phase|phase-7,5,engagement-workflow.md,current,,,,
phase.8,EngagementPhase,Phase 8: Deliverables & Readout,engagement-phase|phase-8,7,engagement-workflow.md,current,,,,
craft.problem_first_scoping,CraftGuide,Problem-First Scoping,craft-guide|wave-a,10,problem-first-scoping.md,current,,,,
craft.evals_guardrails,CraftGuide,Evals & Guardrails,craft-guide|wave-a,13,evals-and-guardrails.md,current,,,,
craft.production_readiness,CraftGuide,Production Readiness,craft-guide|wave-a,12,production-readiness.md,current,,,,
craft.tool_design_permissioning,CraftGuide,Tool Design & Permissioning,craft-guide|wave-b,5,tool-design-and-permissioning.md,current,,,,
craft.retrieval_craft,CraftGuide,Retrieval Craft,craft-guide|wave-b,9,retrieval-craft.md,current,,,,
craft.agent_memory,CraftGuide,Agent Memory,craft-guide|wave-b,3,memory-craft.md,current,,,,
craft.observability_minimum,CraftGuide,Observability Minimum,craft-guide|wave-b,4,observability-minimum.md,current,,,,
craft.ux_of_ai,CraftGuide,UX of AI,craft-guide|wave-c,3,ux-of-ai.md,current,,,,
craft.the_agent_spectrum_the_90_rule,CraftGuide,The Agent Spectrum & the 90% Rule,craft-guide|wave-c,9,agent-spectrum.md,current,,,,
craft.role_based_enablement,CraftGuide,Role-Based Enablement,craft-guide|wave-c,5,role-based-enablement.md,current,,,,
template.backlog_story,Template,Backlog Story,template|agentic-transformation,2,backlog-story.md,current,,,,
template.roadmap_waves,Template,Roadmap Waves,template|agentic-transformation,2,roadmap-waves.md,current,,,,
template.value_driver_tree,Template,Value-Driver Tree,template|agentic-transformation,2,value-driver-tree.md,current,,,,
template.okr_kpi_mapping,Template,OKR-KPI Mapping,template|agentic-transformation,0,okr-kpi-mapping.md,current,,,,
template.pairing_mode_playbook,Template,Pairing Mode Playbook,template|agentic-transformation,2,pairing-mode-playbook.md,current,,,,
template.autonomy_gate_checklist,Template,Autonomy Gate Checklist,template|agentic-transformation,3,autonomy-gate-checklist.md,current,,,,
template.use_case_intake,Template,Use-Case Intake,template|agentic-transformation,3,use-case-intake.md,current,,,,
